company_name,job_description,job_salary,job_type,job_classification,company_review,company_benefits,company_size,company_industry,job_location
SNS Network (M) Sdn Bhd,AI Engineer,No info for Job Salary,Full time,Architects (Information & Communication Technology),4,"Loans
Medical
Miscellaneous allowance
Oversea Travel
Parking","101-1,000 employees",Computer Software & Networking,"Ipoh, Perak"
Danone Dumex (M) Sdn Bhd,"SFE, MCE, Data Analytics - Thailand, Cambodia & Myanmar",No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,Sr ETL Datastage Engineer,No info for Job Salary,Contract/Temp,Database Development & Administration (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,"Damansara, Selangor"
Bjak Sdn Bhd,"Team Lead, AI Engineer",No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),4.2,"Medical
Miscellaneous allowance
Dental
Parking",11-50 employees,Banking & Financial Services,"Petaling, Selangor"
Unison Consulting,Data Warehouse Developer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Bjak Sdn Bhd,Lead Machine Learning Engineer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),4.2,"Medical
Miscellaneous allowance
Dental
Parking",11-50 employees,Banking & Financial Services,"Petaling, Selangor"
Billease,DevOps,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,"13668764 - Data- Sr System Analyst (Teradata, Hadoop, Oracle)",No info for Job Salary,Contract/Temp,Business/Systems Analysts (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
QL Corporate Services Sdn Bhd,Data Analytics and Machine Learning Specialist,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",5,"Medical
Dental
Vision
Learning & Development","More than 10,000 employees","Agriculture, Forestry & Fishing","Shah Alam, Selangor"
Unison Consulting,Informatica Developer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Carsome Sdn Bhd,Data Quality Analyst,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),No info for Company Review,"Medical
Miscellaneous allowance
Dental","1,001-5,000 employees",Automotive,"Damansara, Selangor"
Bjak Sdn Bhd,Lead Artificial Intelligence Specialist,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),4.2,"Medical
Miscellaneous allowance
Dental
Parking",11-50 employees,Banking & Financial Services,"Petaling, Selangor"
Software One Experts Sdn Bhd,Solution Architect - Data & AI,No info for Job Salary,Full time,Architects (Information & Communication Technology),No info for Company Review,No info for Company Benefits,"More than 10,000 employees",Computer Software & Networking,Kuala Lumpur
Bjak Sdn Bhd,"Team Lead, Machine Learning Developer",No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),4.2,"Medical
Miscellaneous allowance
Dental
Parking",11-50 employees,Banking & Financial Services,"Petaling, Selangor"
ACCORD INNOVATIONS SDN. BHD.,Senior ETL Developer,No info for Job Salary,Contract/Temp,Architects (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
a Snaphyre Client,AI Engineer (Anime),No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,ETL Informatica Developer,No info for Job Salary,Contract/Temp,Developers/Programmers (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
3E Accounting My,Artificial Intelligence AI Software Engineer,No info for Job Salary,Full time,Consultants (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
ACCORD INNOVATIONS SDN. BHD.,Data Management (AI /ML/ API),No info for Job Salary,Contract/Temp,Developers/Programmers (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
SWIFT SUPPORT SERVICES MALAYSIA SDN. BHD.,Senior Business Analyst - Data Science,No info for Job Salary,Full time,Business/Systems Analysts (Information & Communication Technology),4.1,"Medical
Education support
Dental
Parking
Vision
Flexible benefits, Health check benefit, Work from","1,001-5,000 employees",Banking & Financial Services,Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,Data (Senior Analyst; MY),No info for Job Salary,Contract/Temp,Database Development & Administration (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,BI Engineer,No info for Job Salary,Contract/Temp,Database Development & Administration (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
MANDRILL TECH SDN. BHD.,AI Engineer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
ACCORD INNOVATIONS SDN. BHD.,Data Scientist,No info for Job Salary,Contract/Temp,Database Development & Administration (Information & Communication Technology),No info for Company Review,Medical,51-100 employees,Computer Software & Networking,Kuala Lumpur
Maxis Broadband Sdn Bhd,Data Scientist,No info for Job Salary,Full time,"Purchasing, Procurement & Inventory (Manufacturing, Transport & Logistics)",4.2,"Medical
Education support
Loans
Dental
Phone Bill Allowance, Mobile Phone Subsidy, Additi","More than 10,000 employees",Telecommunications & Internet Service Providers,"Kuala Lumpur City Centre, Kuala Lumpur"
Unison Consulting,Sr Data Subject Matter Expert,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Microsoft,Data Center Project Manager,No info for Job Salary,Full time,Networks & Systems Administration (Information & Communication Technology),4.3,No info for Company Benefits,1-10 employees,Computer Software & Networking,"Johor Bahru, Johor"
